method,seed,solution,water,deficit,excess,schedule
NSGA_II,261400,30,34.00477041742349,3.9441110230178467,29.870449361751497,"[4.5910598930242505, 12.0, 2.7293404963086125, 4.9890966813153215, 6.811985099722366, 0.4663889810958389, 1.162901843745067, 0.2885926964863411, 0.3316493742994735, 0.36223918231787383, 0.16126933716435712, 0.07659497407916091, 0.0, 0.03365185786482196]"
NSGA_II,261400,31,34.591304326804256,2.765426544869044,23.14134407362264,"[4.622818818009249, 10.452313199181106, 2.5735344343268056, 5.414990119226774, 7.8585603120273975, 0.2629705610763682, 0.7118731233461019, 0.3023635731646071, 0.7076265973395282, 0.9942528582902141, 0.333611316847913, 0.09069428057821197, 0.23765993491244247, 0.028035198477535]"
NSGA_II,261400,32,31.36979385711231,9.231431346276892,19.971117523159855,"[4.632278906179223, 11.907055162070758, 3.0121492284245597, 3.0063281533415243, 5.9328213521074815, 1.3012961168781214, 0.47399806809236406, 0.09070571116411642, 0.6814290500510829, 0.15174927521933818, 0.01819561077967465, 0.10660081964519713, 0.004167342657336531, 0.05101906050152733]"
NSGA_II,261400,33,36.39791965688043,0.43308034311955623,35.82587017327636,"[4.633737157220598, 10.641007147219753, 4.0806483138689345, 5.509304459389836, 8.024192664992372, 0.2982247856527083, 1.2140947005085827, 0.302613444086295, 0.3810848022196989, 0.5979406207378948, 0.28956827903820426, 0.11321195606037845, 0.2831050315667839, 0.02918629431840179]"
NSGA_II,261400,34,35.377790510826294,1.4532094891736982,26.44100994400155,"[4.65155222128965, 10.511409363142253, 2.5740674792519838, 5.396778329573481, 8.256227497905321, 0.26439159808043283, 1.3018727992298698, 0.30015194527661615, 0.7557241157015107, 0.727361078767534, 0.3162904898688219, 0.09428477975167115, 0.19643842051401667, 0.03124039247313985]"
NSGA_II,261400,35,35.64429889845865,1.186701101541349,30.892754007181097,"[4.660434221134391, 11.800850604808844, 2.5757383449745634, 5.349984355436572, 6.7662070909011875, 0.8382387396064203, 1.2198535153927492, 0.2901567653387466, 0.18598979940955204, 0.36332847579854244, 1.416530862409839, 0.1434755821289384, 0.0, 0.033510541118310845]"
NSGA_II,261400,36,35.84100360129074,0.9899963987092448,36.32254596234521,"[4.672771501547196, 11.781938994548653, 2.523106473286247, 5.538575400726122, 8.35244200569287, 0.3032004893784752, 1.2691564686352057, 0.30037421814881515, 0.4138718986447888, 0.3596517327826708, 0.16987995289528757, 0.12322700758181301, 0.0, 0.03280745742260165]"
NSGA_II,261400,37,27.990136100573483,20.324428108729503,5.737600477864731,"[4.6728699005472265, 11.296435128120056, 2.820585420605188, 0.06331380740978798, 6.512200743242715, 0.26907660252418786, 0.7117283908797589, 0.0, 0.8170158196756392, 0.36118992426405594, 0.27619254831153517, 0.09952610082330789, 0.059558732309884926, 0.030442981860142066]"
NSGA_II,261400,38,33.23447013244104,5.474177432376475,5.57826919944862,"[4.677738031815157, 9.51818806254284, 1.2104662047020986, 6.208854029159967, 3.587109859237629, 1.008384401955203, 0.984390948850917, 0.295317863918813, 4.623977030541155, 0.13370380389130984, 0.5203874677384115, 0.3586630024826902, 0.08417172834631075, 0.023117697258533725]"
NSGA_II,261400,39,34.23875316190904,3.457875543028983,29.09199366192029,"[4.693484495557067, 11.955776099370107, 2.806660635477483, 5.255579218805028, 6.220007713460346, 0.24464660952483935, 1.2462168148961632, 0.17290527833176142, 0.38905773033181246, 0.3080874951554809, 0.20204323141387132, 0.7218769934415015, 0.0070289792965110955, 0.015381866847048873]"
NSGA_II,261400,40,32.593506791926096,6.764753924792,18.794072314188675,"[4.719254887921827, 12.0, 1.40778754606744, 3.9097134130517923, 6.189491645757097, 1.8173139789237138, 0.8236487089946276, 0.21382800281450498, 0.9720157691555097, 0.12356967358352679, 0.26276930037155705, 0.10233971388736512, 0.02000664275295176, 0.031767508644178336]"
NSGA_II,261400,41,22.09015677280841,53.653189214005096,0.0,"[4.783468473696502, 4.1162610931771315, 1.7152486045217668, 2.9763382138144387, 5.749190423598793, 1.0798154385947984, 0.4887490143991766, 0.1402145897254216, 0.6481451633534824, 0.22719474901959852, 0.025514851990576085, 0.09201795300202854, 0.002853629196696626, 0.045144574718001707]"
NSGA_II,261400,42,27.557168758549018,22.02989487388208,4.852053272842795,"[4.836933675090803, 12.0, 1.5301547894255356, 1.04202163901937, 4.322810926164237, 1.4757781251705724, 0.8082372723057503, 0.26365769254320953, 0.5878815490291343, 0.3854590381107842, 0.09636034881327651, 0.16415915866675812, 0.011732883217334721, 0.03198166099224881]"
NSGA_II,261400,43,27.06933670275668,25.3670115168726,3.6983776741862187,"[4.86465975781188, 12.0, 1.5140581585624713, 0.5693505654341771, 3.6381212346156846, 1.4839818661556166, 0.9483156550937875, 0.2722177223880982, 0.480641838186527, 0.4683508142132065, 0.06472330255756993, 0.7316999707298295, 0.00394468314433722, 0.02927113386349506]"
NSGA_II,261400,44,30.518919811723215,10.908781887935227,9.926556503203013,"[5.4623307163490304, 9.8702065060913, 1.9758723707618728, 4.457044009566086, 5.070964728895545, 0.5584064317118888, 0.8234978195791338, 0.3020209995389798, 0.5752620346248092, 1.0901342390588165, 0.1396340020058966, 0.10510612776082681, 0.06181831439738111, 0.026621511381649483]"
NSGA_II,261400,45,23.574968600039302,45.021903131371815,1.98884307657908,"[5.526173279169715, 10.402669797409363, 1.1401252882780613, 1.0775829603126517, 2.4924195433748983, 1.0253931311227094, 0.8599857758863387, 0.2178781089628915, 0.08233060864867772, 0.3091479328558512, 0.1743208142499548, 0.15674409208607157, 0.035293444416927625, 0.07490382326518408]"
NSGA_II,261400,46,26.69080762294604,28.678032277396042,2.378351830597367,"[5.81919880250225, 10.27971724877666, 0.7754160476168568, 2.4511036804226958, 2.5868954875965406, 1.0107644078505325, 1.38455322732837, 0.2482564271051494, 0.22568910050971053, 1.2866464143310283, 0.12459765770481879, 0.0, 0.03080932067546563, 0.46715980052596173]"
NSGA_II,261400,47,22.223195362690024,53.26409918164262,0.0,"[5.902590016764993, 6.378818328095065, 0.8291919871356197, 2.308930209450785, 2.9653837472305273, 1.0043861799263747, 1.399019521612634, 0.31564281765316504, 0.4664828053454748, 0.34395871053733484, 0.1209344034543446, 0.12125127436461319, 0.027373980483440412, 0.03923138063565053]"
