method,seed,front_size,balanced_score,min_water,min_deficit,min_excess,evaluations,seconds
weighted_water,261405,18,0.8011817950072355,0.006396619414263257,224.2853001998778,0.0,3072,0.01552295999999842
weighted_water,261406,11,0.8015604844402899,0.0012689110969007155,224.43117289473903,0.0,3072,0.01528235900002528
weighted_water,261407,14,0.801558528375219,0.0033339430486822473,224.42614335067827,0.0,3072,0.01590352300001996
weighted_water,261408,13,0.8015327949141146,0.005612546867009981,224.41298541377483,0.0,3072,0.013357273999986319
weighted_water,261409,14,0.8015287320009132,0.001610571194089873,224.4163971618895,0.0,3072,0.014318478999939543
weighted_water,261410,13,0.8015629321919245,0.002414418229318639,224.43021402034583,0.0,3072,0.012481637999940176
weighted_water,261411,15,0.801539826659033,0.0018565836205619085,224.42054057325635,0.0,3072,0.013113417999988997
weighted_water,261412,11,0.8015732192683678,0.0007560006128642769,224.43640188588705,0.0,3072,0.013511276000031103
weighted_water,261413,5,0.8015287392649713,0.0029399496119583424,224.41694979341804,0.0,3072,0.013693618999923274
weighted_water,261414,9,0.8010204352961271,0.03041920217343752,224.19149861113644,0.0,3072,0.013323704000072212
weighted_water,261415,9,0.8014321452702501,0.00648526591342436,224.37844298609537,0.0,3072,0.01300444299999981
weighted_water,261416,14,0.8013445793813676,0.005996669636408137,224.34671921392825,0.0,3072,0.013339556999994784
weighted_water,261417,10,0.8015085394576144,0.005118239349391329,224.40166988343807,0.0,3072,0.013306657000043742
weighted_water,261418,5,0.801493901978427,0.007130980097511857,224.3993178600002,0.0,3072,0.013336832999925718
weighted_water,261419,10,0.8014530243835235,0.008859677306235067,224.3857578005093,0.0,3072,0.013111685000012585
weighted_comfort,261400,6,0.21922968277012883,36.829966763454095,0.0,0.0,3072,0.014069404999986546
weighted_comfort,261401,2,0.21922936889615893,36.82983493638675,0.0,0.0,3072,0.013378476000070805
weighted_comfort,261402,1,0.2192606555039828,36.83579012466911,0.0,0.0,3072,0.012715909999997166
weighted_comfort,261403,1,0.21924641809738127,36.833398240360054,0.0,0.0,3072,0.012956391999978223
weighted_comfort,261404,6,0.21923214285015277,36.83099999706416,0.0,0.0,3072,0.013949373999935233
weighted_comfort,261405,1,0.21923498212214523,36.8314769965204,0.0,0.0,3072,0.015100565000011557
weighted_comfort,261406,1,0.21923117256818841,36.83059247863913,0.0004075213608629724,0.0,3072,0.014398610000057488
weighted_comfort,261407,1,0.2192669861852454,36.836853679121226,0.0,0.0,3072,0.013332896999941113
weighted_comfort,261408,1,0.21924023142957347,36.83235888016834,0.0,0.0,3072,0.01425687599999037
weighted_comfort,261409,1,0.2192324239622764,36.83104722566244,0.0,0.0,3072,0.014995446999932938
weighted_comfort,261410,2,0.21923195914832652,36.830922842297134,0.0,0.0,3072,0.013401779999981045
weighted_comfort,261411,1,0.21924003081784874,36.83232517739859,0.0,0.0,3072,0.013948331999927177
weighted_comfort,261412,1,0.21923214941043895,36.83100110095374,0.0,0.0,3072,0.013780150000002322
weighted_comfort,261413,1,0.21923379391734593,36.831277378114116,0.0,0.0,3072,0.0135837249999895
weighted_comfort,261414,1,0.21926491676856003,36.83650601711808,0.0,0.0,3072,0.013432186000045476
weighted_comfort,261415,2,0.21923210788775346,36.830985312856455,0.0,0.0,3072,0.014751320000073065
weighted_comfort,261416,1,0.21923952789463794,36.83224068629917,0.0,0.0,3072,0.01339187700000366
weighted_comfort,261417,1,0.2192377003317778,36.83193365573867,0.0,0.0,3072,0.014182964999918113
weighted_comfort,261418,1,0.21923198538151348,36.83093386023567,6.613976432490176e-05,0.0,3072,0.013801962999991702
weighted_comfort,261419,1,0.21923214288347034,36.83100000442302,0.0,0.0,3072,0.012881348000064463
